Date,High,Low,Close,K val,D val
2016-11-02,90.889999,88.099998,89.980003,0,0
2016-11-01,87.50,86.529999,86.919998,19.235369449688477,39.74512314989616
2016-10-31,87.709999,86.980003,87.059998,16.875559755449732,32.12193535174735
2016-10-28,87.650002,86.599998,87.160004,16.066925158067384,26.77026528718736
2016-10-27,87.43,86.629997,86.660004,11.705205457060192,21.74857867714497
2016-10-26,87.739998,87.019997,87.190002,12.849364800119664,18.78217405146987
2016-10-25,87.75,87.199997,87.50,15.982152986012473,17.848833696317406
2016-10-24,87.809998,87.190002,87.669998,19.37035734235696,18.35600824499726
2016-10-21,86.82,85.480003,86.720001,14.366186240470334,17.026067576821617
2016-10-20,87.559998,86.489998,86.839996,17.95696461343035,17.33636658902453
2016-10-19,87.730003,87.339996,87.43,23.98608757206723,19.552940250038763
2016-10-18,88.370003,87.32,87.379997,43.17238566677303,27.42608872228352
2016-10-17,87.699997,86.980003,87.239998,49.08141743413477,34.644531626233935
2016-10-14,88.050003,86.910004,87.559998,56.71166006566304,42.00024110604364
2016-10-13,87.190002,85.949997,86.889999,54.07070301955399,46.023728410547086
2016-10-12,87.129997,86.07,86.870003,52.07943061741892,48.0422958128377
2016-10-11,87.669998,85.720001,86.089996,41.75529515209708,45.94662892592416
2016-10-10,88.230003,87.629997,87.769997,54.249712338999046,48.714323396949126
2016-10-07,87.790001,86.860001,87.370003,57.965782851143544,51.79814321501393
2016-10-06,87.699997,86.779999,87.559998,61.788454118675105,55.12824684956766
2016-10-05,87.779999,87.080002,87.580002,64.58852408196852,58.28167259370127
2016-10-04,87.989998,86.949997,87.169998,61.29795826424916,59.28710115055057
2016-10-03,88.160004,87.550003,87.629997,66.23043802068213,61.60154677392776
2016-09-30,88.489998,87.169998,88.199997,77.08847294219638,66.76385549668396
2016-09-29,88.169998,87.199997,87.209999,69.3225152192018,67.61674207085657
2016-09-28,89.089996,87.110001,87.449997,67.03327577361834,67.4222533051105
2016-09-27,89.07,88.099998,88.949997,76.63742412886168,70.49397691302755
2016-09-26,88.449997,87.860001,88.190002,71.4380061461547,70.80865332406994
2016-09-23,89.239998,88.449997,88.470001,72.01212234867224,71.20980966560404
2016-09-22,89.809998,89.169998,89.459999,84.32245947135512,75.58069293418774
2016-09-21,88.970001,87.709999,88.879997,78.70913760998349,76.62350782611966
2016-09-20,88.089996,86.93,87.790001,62.26301139374679,71.83667568199537
2016-09-19,87.400002,86.449997,86.559998,37.22624073302995,60.29986403234023
2016-09-16,87.18,86.209999,86.75,27.793713174335675,49.464480413005376
2016-09-15,87.790001,86.230003,87.480003,30.288441678992193,43.072467501667646
2016-09-14,87.239998,86.449997,86.690002,24.636767909459746,36.92723430426501
2016-09-13,87.790001,86.360001,86.690002,20.868985396438116,31.574484668322714
2016-09-12,88.239998,86.330002,88.139999,31.78303226532234,31.644000533989256
2016-09-09,88.989998,86.550003,86.57,24.52203169540288,29.27001092112713
2016-09-08,90.07,89.330002,89.470001,46.53323321875345,35.02441835366924
2016-09-07,89.989998,89.150002,89.959999,63.405566778803376,44.48480116204728
2016-09-06,90.139999,89.440002,89.860001,73.79024878866576,54.25328370425345
2016-09-02,90.989998,90.059998,90.389999,84.64727357751593,64.38461366200761
2016-09-01,90.629997,89.660004,90.629997,87.25438130192813,72.00786954198111
2016-08-31,90.029999,89.410004,89.809998,83.23960686587151,75.75178198327791
2016-08-30,90.059998,89.50,89.790001,80.24272768138772,77.24876388264785
2016-08-29,90.300003,89.489998,89.589996,76.8141560671377,77.10389461081114
2016-08-26,90.599998,89.32,89.790001,75.95909381556518,76.72229434572915
2016-08-25,89.980003,89.300003,89.769997,74.81355222932164,76.08604697359331
2016-08-24,89.910004,89.540001,89.68,59.47713540237523,70.54974311652062
2016-08-23,90.190002,89.779999,89.980003,54.68770628915448,65.26239750739856
2016-08-22,90.019997,89.540001,89.910004,48.49008436519616,59.67162645999777
2016-08-19,89.970001,89.099998,89.849998,43.174782618394154,54.172678512796566
2016-08-18,89.900002,89.389999,89.830002,44.68742538670942,51.01092747076752
2016-08-17,89.860001,88.790001,89.330002,34.90281692447281,45.64155728866928
2016-08-16,90.25,89.550003,89.559998,37.4489916925625,42.91070208996702
2016-08-15,90.660004,90.160004,90.349998,53.69526859862678,46.505557592853606
2016-08-12,90.400002,90.010002,90.129997,59.68265411525648,50.897923100321236
2016-08-11,90.650002,90.010002,90.400002,68.48716008957987,56.76100209674078
2016-08-10,90.120003,89.510002,90.040001,67.93971090919631,60.487238367559286
2016-08-09,90.339996,89.440002,89.970001,66.32697495470312,62.433817229940566
2016-08-08,89.879997,89.190002,89.440002,55.80443530347987,60.22402325445367
2016-08-05,89.720001,88.540001,89.669998,52.88915273783464,57.77906641558066
2016-08-04,88.660004,88.029999,88.410004,33.215460063552584,49.5911976315713
2016-08-03,88.300003,87.550003,88.190002,24.171557606530225,41.11798428989094
2016-08-02,88.940002,87.860001,87.970001,20.61595657104639,34.28397505027609
2016-08-01,89.709999,87.849998,88.669998,25.748200842360085,31.438716980970753
2016-07-29,91.379997,88.93,88.949997,32.219171009004654,31.698868323648718
2016-07-28,93.00,91.370003,91.730003,57.85896473109557,40.41890045946434
2016-07-27,95.730003,94.75,94.93,83.71026433073598,54.84935508322155
2016-07-26,96.00,95.080002,95.720001,89.0994182742804,66.2660428135745
