Date,High,Low,Close,K val,D val
2016-11-01,42.294998,41.290001,41.540001,0,0
2016-10-31,42.00,41.360001,41.66,45.605310264607716,48.53510342153591
2016-10-28,41.98,41.07,41.759998,45.992210258670895,47.687472367247565
2016-10-27,42.57,41.620998,41.689999,47.53222213829538,47.63572229093017
2016-10-26,43.209999,42.310001,42.330002,59.68819253664137,51.6532123728339
2016-10-25,44.07,43.00,43.310001,74.68312597037655,59.329850238681445
2016-10-24,44.52,43.139999,43.869999,80.89985064691768,66.5198503747602
2016-10-21,44.240002,41.84,44.150002,83.69170719456346,72.24380264802795
2016-10-20,40.290001,39.82,40.09,46.32587242922592,63.60449257509394
2016-10-19,40.470001,39.84,40.240002,33.862652541469735,53.69054589721921
2016-10-18,40.18,39.779999,39.830002,22.646037864525926,43.342376552988114
2016-10-17,39.619999,39.16,39.48,12.987661412433006,33.22413817280308
2016-10-14,39.889999,39.23,39.240002,9.155965817243896,25.20141405428335
2016-10-13,39.400002,38.75,39.200001,6.352739649306899,18.918522585957867
2016-10-12,39.799999,39.299999,39.529999,8.741219847082682,15.526088339666138
2016-10-11,40.110001,38.959999,39.189999,8.369357425495906,13.14051136827606
2016-10-10,40.169998,39.59,39.860001,11.992055730226596,12.757692822259571
2016-10-07,40.419998,39.619999,39.880001,14.855666712332162,13.457017452283768
2016-10-06,40.389999,39.860001,40.18,37.61693999049143,21.510324965019656
2016-10-05,40.950001,40.400002,40.439999,57.82985955650998,33.61683649551643
2016-10-04,41.299999,40.439999,40.779999,69.31078632969752,45.51481977357679
2016-10-03,41.200001,40.16,40.59,70.25948790043775,53.763042482530444
2016-09-30,41.049999,40.27,40.970001,75.85929089557251,61.128458620211134
2016-09-29,41.299999,40.360001,40.389999,72.0107644289061,64.75589388977612
2016-09-28,41.189999,40.209999,40.970001,76.63968340844457,68.7171570626656
2016-09-27,41.23,39.490002,41.060001,81.00768067685478,72.81399826739533
2016-09-26,40.509998,39.380001,40.34,69.65888488657362,71.76229380712142
2016-09-23,40.494999,39.599998,40.07,58.41841837489817,67.31433532971367
2016-09-22,40.66,40.139999,40.490002,58.21648301820022,64.28171789254252
2016-09-21,40.389999,39.700001,40.290001,54.60961624681492,61.057684010633324
2016-09-20,40.299999,39.669998,39.689999,41.78832615959397,54.634564726953535
2016-09-19,40.459999,39.75,40.009998,38.796343416249485,49.35515762338552
2016-09-16,40.880001,40.325001,40.700001,48.78091948238564,49.1637449097189
2016-09-15,41.139999,39.869999,40.830002,57.6942676830363,52.007252500824706
2016-09-14,40.279999,39.529999,39.959999,48.9132651853144,50.975923395654604
2016-09-13,40.330002,38.41,39.860001,41.257496780472614,47.73644785726061
2016-09-12,38.84,37.540001,38.77,31.900603859364963,42.45783319129539
2016-09-09,39.02,37.91,38.009998,25.618895731332152,36.844854037974315
2016-09-08,39.330002,38.500999,39.27,33.09778197932415,35.59583001842426
2016-09-07,38.580002,37.259998,38.560001,31.50963767757705,34.23376590480852
2016-09-06,37.650002,37.02,37.18,20.31915725427845,29.5955630212985
2016-09-02,37.125,36.299999,37.07,13.95063567870928,24.38058724043543
2016-09-01,37.32,36.580002,36.830002,12.950582188010046,20.570585556293633
2016-08-31,37.240002,36.84,37.150002,14.487736610188517,18.54296924092526
2016-08-30,37.52,36.985001,37.00,15.448404050364157,17.511447510738225
2016-08-29,37.650002,37.27,37.290001,18.48753208838464,17.836809036620362
2016-08-26,37.84,37.380001,37.650002,27.176524839612757,20.95004763761783
2016-08-25,37.57,37.25,37.509998,31.428990178909906,24.44302848471519
2016-08-24,37.950001,37.41,37.52,34.37399996613155,27.753352311853973
2016-08-23,38.43,37.799999,37.860001,45.72301675181412,33.74324045850736
2016-08-22,38.200001,37.66,38.110001,58.80753777561003,42.098006230874915
2016-08-19,38.18,37.895,38.09,67.21754724358887,50.471186568446235
2016-08-18,38.375,37.93,38.220001,74.36126163939821,58.434544925430224
2016-08-17,38.459999,37.880001,38.139999,76.82782222500767,64.56563735862271
2016-08-16,38.529999,38.150002,38.380001,82.74401462521382,70.62509644748641
2016-08-15,38.650002,38.34,38.459999,86.6730916593213,75.97442818476472
2016-08-12,38.630001,38.099998,38.509998,87.78197063015304,79.91027566656082
2016-08-11,38.490002,38.099998,38.459999,87.33077259706565,82.38377464339577
2016-08-10,38.244999,37.91,38.07,75.96242193260262,80.24332373979806
2016-08-09,38.139999,37.880001,38.099998,65.45633216776028,75.31432654911879
2016-08-08,38.299999,37.650002,37.91,52.05504619098208,67.56123309640655
2016-08-05,38.150002,37.549999,38.099998,49.70323079398801,61.60856566226704
2016-08-04,37.389999,36.73,37.299999,25.559750281335113,49.59229386862306
2016-08-03,36.740002,36.279999,36.580002,14.435704289080311,37.873430675442144
2016-08-02,37.084999,36.360001,36.540001,13.280647738204884,29.675836363029724
2016-08-01,37.439999,36.900002,37.060001,19.824243536538106,26.39197208753252
2016-07-29,37.48,36.860001,37.240002,26.833214598498657,26.53905292452123
2016-07-28,37.68,37.101002,37.220001,32.06679953596629,28.38163512833625
2016-07-27,37.689999,37.044998,37.220001,36.88945051572679,31.217573590799763
2016-07-26,38.27,37.599998,37.689999,47.860293743157825,36.76514697491912
2016-07-25,38.18,37.619999,37.779999,56.65933774296326,43.396543897600495
